timestamp,asset,open,high,low,close,volume
2024-01-02T00:00:00,BTC-PERP,41980.0,42080,41900.0,42000,5000
2024-01-02T00:00:00,ETH-PERP,2180.0,2280,2100.0,2200,5000
2024-01-03T00:00:00,BTC-PERP,42026.66667,42580,41946.66667,42500,5137
2024-01-03T00:00:00,ETH-PERP,2226.66667,2310,2146.66667,2230,5137
2024-01-04T00:00:00,BTC-PERP,42526.66667,42606.66667,42120,42200,5274
2024-01-04T00:00:00,ETH-PERP,2256.66667,2336.66667,2135,2215,5274
2024-01-05T00:00:00,BTC-PERP,42226.66667,43080,42146.66667,43000,5411
2024-01-05T00:00:00,ETH-PERP,2241.66667,2330,2161.66667,2250,5411
2024-01-06T00:00:00,BTC-PERP,43026.66667,43106.66667,42620,42700,5548
2024-01-06T00:00:00,ETH-PERP,2276.66667,2356.66667,2160,2240,5548
2024-01-07T00:00:00,BTC-PERP,42726.66667,43580,42646.66667,43500,5685
2024-01-07T00:00:00,ETH-PERP,2266.66667,2360,2186.66667,2280,5685
2024-01-08T00:00:00,BTC-PERP,43526.66667,43606.66667,43020,43100,5822
2024-01-08T00:00:00,ETH-PERP,2306.66667,2386.66667,2180,2260,5822
2024-01-09T00:00:00,BTC-PERP,43126.66667,44080,43046.66667,44000,5959
2024-01-09T00:00:00,ETH-PERP,2286.66667,2380,2206.66667,2300,5959
2024-01-10T00:00:00,BTC-PERP,44026.66667,44106.66667,43720,43800,6096
2024-01-10T00:00:00,ETH-PERP,2326.66667,2406.66667,2210,2290,6096
