timestamp,asset,open,high,low,close,volume
2024-01-02T16:00:00,AAPL,187.725,189.1,186.625,188,1000000
2024-01-02T16:00:00,MSFT,369.725,371.1,368.625,370,1000000
2024-01-03T16:00:00,AAPL,188.36667,191.1,187.26667,190,1000137
2024-01-03T16:00:00,MSFT,370.36667,373.1,369.26667,372,1000137
2024-01-04T16:00:00,AAPL,190.36667,191.46667,187.9,189,1000274
2024-01-04T16:00:00,MSFT,372.36667,373.46667,367.9,369,1000274
2024-01-05T16:00:00,AAPL,189.36667,194.1,188.26667,193,1000411
2024-01-05T16:00:00,MSFT,369.36667,375.1,368.26667,374,1000411
2024-01-08T16:00:00,AAPL,193.36667,194.46667,189.9,191,1000548
2024-01-08T16:00:00,MSFT,374.36667,378.1,373.26667,377,1000548
2024-01-09T16:00:00,AAPL,191.36667,196.1,190.26667,195,1000685
2024-01-09T16:00:00,MSFT,377.36667,378.46667,373.9,375,1000685
2024-01-10T16:00:00,AAPL,195.36667,196.46667,192.9,194,1000822
2024-01-10T16:00:00,MSFT,375.36667,380.1,374.26667,379,1000822
2024-01-11T16:00:00,AAPL,194.36667,199.1,193.26667,198,1000959
2024-01-11T16:00:00,MSFT,379.36667,382.1,378.26667,381,1000959
2024-01-12T16:00:00,AAPL,198.36667,199.46667,194.9,196,1001096
2024-01-12T16:00:00,MSFT,381.36667,382.46667,376.9,378,1001096
