timestamp,asset,open,high,low,close,volume
2024-01-02T16:00:00,SPY,469.8,470.8,469.0,470,750000
2024-01-02T16:00:00,TLT,97.8,98.8,97.0,98,750000
2024-01-03T16:00:00,SPY,470.26667,472.8,469.46667,472,750137
2024-01-03T16:00:00,TLT,98.26667,99.06667,96.2,97,750137
2024-01-04T16:00:00,SPY,472.26667,473.06667,470.2,471,750274
2024-01-04T16:00:00,TLT,97.26667,99.8,96.46667,99,750274
2024-01-05T16:00:00,SPY,471.26667,475.8,470.46667,475,750411
2024-01-05T16:00:00,TLT,99.26667,100.8,98.46667,100,750411
2024-01-08T16:00:00,SPY,475.26667,476.06667,472.2,473,750548
2024-01-08T16:00:00,TLT,100.26667,101.06667,97.2,98,750548
2024-01-09T16:00:00,SPY,473.26667,477.8,472.46667,477,750685
2024-01-09T16:00:00,TLT,98.26667,101.8,97.46667,101,750685
2024-01-10T16:00:00,SPY,477.26667,478.06667,475.2,476,750822
2024-01-10T16:00:00,TLT,101.26667,102.06667,99.2,100,750822
2024-01-11T16:00:00,SPY,476.26667,480.8,475.46667,480,750959
2024-01-11T16:00:00,TLT,100.26667,102.8,99.46667,102,750959
2024-01-12T16:00:00,SPY,480.26667,481.06667,477.2,478,751096
2024-01-12T16:00:00,TLT,102.26667,103.06667,100.2,101,751096
