timestamp,asset,open,high,low,close,volume,session_date
2024-01-02T21:00:00,ES,4799.25,4803.0,4796.25,4800,25000,2024-01-02
2024-01-02T21:15:00,ZC,459.25,463.0,456.25,460,25000,2024-01-02
2024-01-03T21:00:00,ES,4801.0,4818.0,4798.0,4815,25137,2024-01-03
2024-01-03T21:15:00,ZC,461.0,465.0,458.0,462,25137,2024-01-03
2024-01-04T21:00:00,ES,4816.0,4819.0,4805.0,4808,25274,2024-01-04
2024-01-04T21:15:00,ZC,463.0,466.0,456.0,459,25274,2024-01-04
2024-01-05T21:00:00,ES,4809.0,4833.0,4806.0,4830,25411,2024-01-05
2024-01-05T21:15:00,ZC,460.0,468.0,457.0,465,25411,2024-01-05
2024-01-08T21:00:00,ES,4831.0,4834.0,4817.0,4820,25548,2024-01-08
2024-01-08T21:15:00,ZC,466.0,469.0,460.0,463,25548,2024-01-08
2024-01-09T21:00:00,ES,4821.0,4845.0,4818.0,4842,25685,2024-01-09
2024-01-09T21:15:00,ZC,464.0,470.0,461.0,467,25685,2024-01-09
2024-01-10T21:00:00,ES,4843.0,4846.0,4832.0,4835,25822,2024-01-10
2024-01-10T21:15:00,ZC,468.0,471.0,461.0,464,25822,2024-01-10
2024-01-11T21:00:00,ES,4836.0,4863.0,4833.0,4860,25959,2024-01-11
2024-01-11T21:15:00,ZC,465.0,473.0,462.0,470,25959,2024-01-11
2024-01-12T21:00:00,ES,4861.0,4864.0,4847.0,4850,26096,2024-01-12
2024-01-12T21:15:00,ZC,471.0,474.0,465.0,468,26096,2024-01-12
