timestamp,asset,open,high,low,close,volume
2024-01-02T17:00:00,EURUSD,1.0915,1.094,1.0895,1.092,1000000
2024-01-02T17:00:00,GBPUSD,1.2635,1.266,1.2615,1.264,1000000
2024-01-03T17:00:00,EURUSD,1.09267,1.097,1.09067,1.095,1000137
2024-01-03T17:00:00,GBPUSD,1.26467,1.27,1.26267,1.268,1000137
2024-01-04T17:00:00,EURUSD,1.09567,1.09767,1.089,1.091,1000274
2024-01-04T17:00:00,GBPUSD,1.26867,1.27067,1.263,1.265,1000274
2024-01-05T17:00:00,EURUSD,1.09167,1.101,1.08967,1.099,1000411
2024-01-05T17:00:00,GBPUSD,1.26567,1.273,1.26367,1.271,1000411
2024-01-08T17:00:00,EURUSD,1.09967,1.10167,1.095,1.097,1000548
2024-01-08T17:00:00,GBPUSD,1.27167,1.27367,1.267,1.269,1000548
2024-01-09T17:00:00,EURUSD,1.09767,1.104,1.09567,1.102,1000685
2024-01-09T17:00:00,GBPUSD,1.26967,1.276,1.26767,1.274,1000685
2024-01-10T17:00:00,EURUSD,1.10267,1.10467,1.098,1.1,1000822
2024-01-10T17:00:00,GBPUSD,1.27467,1.27667,1.27,1.272,1000822
2024-01-11T17:00:00,EURUSD,1.10067,1.107,1.09867,1.105,1000959
2024-01-11T17:00:00,GBPUSD,1.27267,1.279,1.27067,1.277,1000959
2024-01-12T17:00:00,EURUSD,1.10567,1.10767,1.101,1.103,1001096
2024-01-12T17:00:00,GBPUSD,1.27767,1.27967,1.273,1.275,1001096
